Sa [cm/s^2],EDP [cm]
187.5082199,3.940365842
307.4713342,4.335927505
254.9978344,1.775853597
266.8533705,6.921844467
167.120256,2.770054181
234.9426478,4.230157232
101.214664,1.847948854
153.279935,2.924975301
149.0878424,2.574078931
280.5712397,4.292232175
218.0291605,3.245198458
127.1627743,1.845523923
218.5070697,3.230426951
158.4540353,3.104684032
160.1934145,2.759011244
330.1428001,7.408331343
231.572943,8.41996946
264.9382255,3.442550102
333.2483794,3.947191331
239.0010672,2.958588163
284.7269971,3.42796218
303.0618524,4.480934369
381.5686288,5.961008142
274.816919,4.470381202
427.7030985,4.231411841
221.8491328,5.446448724
214.5848368,4.593501389
490.2892179,5.075751223
172.5245883,2.880245793
219.1966185,3.215385625
338.9475029,4.925089371
235.5879995,3.256592264
426.2309089,4.915702424
357.7437119,5.452607528
251.9044733,3.729573609
152.0102504,2.790901132
286.865674,4.047922977
114.2277392,2.185370172
246.3622174,4.192240096
321.5678831,4.068523455
242.7311735,5.608479819
332.5733027,5.767320862
575.0422996,3.613177122
339.5990437,4.223865423
248.9879282,4.719478111
297.2062332,5.78704489
268.3544921,2.923344362
117.9508146,3.660299413
180.2983758,3.129265216
391.4417359,3.772217546
215.0196497,3.220792123
289.0047974,3.769287297
136.4374843,3.868839879
226.2847636,2.120659493
291.4545582,3.641391002
115.3723048,2.524478927
258.6598342,4.977464811
201.4252863,2.254627413
140.8224167,3.757686155
215.6351376,2.504796468
89.61655434,1.514899965
80.32673814,1.606024762
125.8841271,3.025075738
137.4705107,2.991292718
126.1157193,2.441039449
97.15026688,2.52789939
251.5070828,3.501057873
103.3639331,3.162989563
231.2230934,3.879271598
318.3377371,2.974265046
219.261672,2.887504291
229.3617704,2.921579089
183.5860787,2.394270259
108.9544753,2.598650069
214.9958448,2.632259479
345.569254,5.073956936
498.9127156,6.423283219
179.1272808,2.577901717
101.7584491,2.14486648
237.4357608,3.222624477
262.1871393,6.682478845
197.1787605,2.286594657
127.5608791,2.631894628
571.1052177,6.428710031
72.00419095,1.536535076
172.5033732,1.960229445
117.5668725,2.87748815
162.523569,3.099483484
255.0512846,5.39552575
234.2828062,4.488627613
156.8955355,2.327905494
316.8280658,3.47714876
294.5134436,3.960182116
298.010288,5.208816827
179.5147816,2.37069382
360.1955573,4.909753684
299.8921921,2.606245204
717.959759,6.701374277
362.7361078,5.938262035
379.1095632,6.698631971
225.0548012,5.315716656
119.4274459,2.610836501
184.188556,3.52416178
153.4464214,2.185194668
168.1589578,1.804888541
285.3037817,5.703294629
168.7311348,3.460603694
143.8086452,3.008308816
180.9026841,3.751049747
203.4291829,3.083218076
266.3149025,5.606736561
139.9535906,3.367389956
254.9869621,3.776305017
227.7327834,3.196947216
410.317774,5.674752797
198.4664617,4.028033537
205.9827931,4.684050232
126.2156363,3.147548321
114.0852942,1.391658303
254.1681109,4.378332077
195.0905736,1.51843517
278.4606453,2.872600638
143.9752938,2.158415928
540.6987037,7.107329494
232.5388212,3.747995382
359.9323483,5.06419304
197.1815796,4.407741592
203.2740302,3.555426686
304.0782209,5.802661217
285.3871114,4.329266948
129.2994309,1.961361735
106.4103787,1.587084871
130.6740666,3.407758957
112.4528166,2.014857809
225.7566738,4.217519207
180.7384115,3.161779767
184.4681056,2.808689726
115.402383,2.573341167
317.2120207,3.837624942
270.1256165,5.377175148
210.3939704,4.916966033
355.5633963,8.280722145
145.2514969,3.21554703
266.9907951,5.352630866
258.763538,5.037415795
258.8629606,3.171836347
155.5294966,2.756203911
256.1365731,4.546548051
172.1037679,2.276688693
143.7181187,2.530839237
124.3272318,1.674950181
358.3685274,4.869732509
147.1879019,2.892820589
202.2767055,3.748264188
124.0114401,2.871886768
190.7494492,4.240602788
47.68254474,1.136821037
131.3491658,3.216659984
111.887825,2.917477855
135.9260198,2.472335489
198.457396,3.488142345
188.2234339,4.123240143
549.9425396,6.993940356
167.5401641,2.485357653
195.0405191,2.936480486
104.5853384,1.80252139
175.1795393,2.34145841
116.6622925,3.164860375
222.6565459,2.15392619
328.4220451,4.775101603
265.6764732,4.333465004
157.6469865,3.023925584
101.603778,1.971780798
437.4663754,4.064253192
578.0835644,6.411794441
232.3488527,2.917335484
